id_trajectory,id_in_seq,initial state,current_state,goal_state,out_action,timesteps
11,6,"[0, 0, 1, 0, 0, 0]","[42.77974478268396, -6.441099308686163, 5.217910575716573, 0.4886184773913033, 0.09921934465265557, -0.018288011722510492]","[43.60367026027089, -6.821762176246617, 0, 0, 0, 0]",[],1
12,0,"[0, 0, 1, 0, 0, 0]","[0.0, 0.0, 4.257165346815115, 0.0, 0, 0]","[75.17393365140086, -10.105903630243592, 0, 0, 0, 0]","[-0.10472, 0.0]",1
12,1,"[0, 0, 1, 0, 0, 0]","[4.625849022153681, -0.858149443458235, 5.158671772439051, 0.8226298625621137, -0.005075069586524858, 0.004830323128053366]","[75.17393365140086, -10.105903630243592, 0, 0, 0, 0]","[-0.0, 0.0]",1
12,2,"[0, 0, 1, 0, 0, 0]","[10.359846320582685, -3.0309880700149883, 7.738353882502919, 0.3075716602359585, -0.4966419668480229, -0.010752341216882821]","[75.17393365140086, -10.105903630243592, 0, 0, 0, 0]","[-0.05236, 0.0]",1
12,3,"[0, 0, 1, 0, 0, 0]","[18.805675801734115, -6.3296354145303795, 9.79204594499153, 0.5884038086147064, -0.10473708614950161, 0.014453358326183803]","[75.17393365140086, -10.105903630243592, 0, 0, 0, 0]","[-0.05236, 0.0]",1
12,4,"[0, 0, 1, 0, 0, 0]","[27.846145237118435, -6.052139516881955, 7.875001144998834, 0.5790410217149182, 0.27236372030613004, 0.007679494044461216]","[75.17393365140086, -10.105903630243592, 0, 0, 0, 0]","[-0.06981, 0.0]",1
12,5,"[0, 0, 1, 0, 0, 0]","[33.661495244364694, -4.37602464200873, 4.173820642267526, 0.7245447368035416, 0.4113938470023447, -0.007568598005643417]","[75.17393365140086, -10.105903630243592, 0, 0, 0, 0]","[-0.01745, 0.0]",1
12,6,"[0, 0, 1, 0, 0, 0]","[37.55654797103344, -5.11203906503131, 5.18347380031148, 0.5312973771936783, -0.382312718319698, -0.014890552550567551]","[75.17393365140086, -10.105903630243592, 0, 0, 0, 0]","[-0.08727, 0.0]",1
12,7,"[0, 0, 1, 0, 0, 0]","[43.8129495510591, -7.275309300848202, 7.369154531622659, 0.7495310145810464, -0.010145487580587297, 0.016386722856140814]","[75.17393365140086, -10.105903630243592, 0, 0, 0, 0]","[-0.06981, 0.0]",1
12,8,"[0, 0, 1, 0, 0, 0]","[50.64690703656584, -7.059260056495455, 5.946308850373955, 0.678269441769659, 0.24031100581777423, 0.003297472141809735]","[75.17393365140086, -10.105903630243592, 0, 0, 0, 0]","[-0.03491, 0.0]",1
12,9,"[0, 0, 1, 0, 0, 0]","[56.0006136148808, -7.090770007662399, 5.300395629805399, 0.6004728032854959, -0.06126105952213769, -0.010409816498499315]","[75.17393365140086, -10.105903630243592, 0, 0, 0, 0]","[-0.03491, 0.0]",1
12,10,"[0, 0, 1, 0, 0, 0]","[61.89670422197273, -8.779485179943558, 7.138353614697874, 0.5102995199936845, -0.25783385479041543, -0.0016047069121024847]","[75.17393365140086, -10.105903630243592, 0, 0, 0, 0]","[-0.06981, 0.0]",1
12,11,"[0, 0, 1, 0, 0, 0]","[69.3842514668768, -9.984272683851106, 7.4535509087766405, 0.6709330807454248, 0.11808170871981419, 0.011240962674983113]","[75.17393365140086, -10.105903630243592, 0, 0, 0, 0]","[-0.0, 0.0]",1
12,12,"[0, 0, 1, 0, 0, 0]","[75.16842279229523, -10.536444228675766, 7.4504961182264715, 0.349768741044799, -0.2057636865512568, -0.012328671201728125]","[75.17393365140086, -10.105903630243592, 0, 0, 0, 0]",[],1
